Year,ID,National,Position,PY,WY,CE/PL/UPL,Sex,R&D/Non R&D,WP,Birth,SCHLafterEPY,School,CORE,LP,RCMD,Performance,EDU,EmployBenifits,Retention,Married,HP,Core,Jobtype,Fresh/Exprnc,Transferred,PromotionCandidate,Promotion,Incentive,Retire
2015,lg3020,1,P2,4,9,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T2,N,N,N,3,Master,N,N,6,N,N,A,0,N,N,N,1,0
2015,lg3023,1,P3,1,9,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T2,N,N,N,5,Doctor,N,Y,20,Y,N,A,0,N,N,N,2,0
2015,lg3024,1,P3,1,9,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T4,N,N,N,3,Master,N,N,8,N,N,A,0,N,N,N,0,0
2015,lg0111,1,P2,1,8,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,Y,T1,N,N,N,5,Master,N,N,5,Y,N,A,0,N,N,N,0,0
2015,lg3026,1,P2,3,8,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,T2,N,N,N,3,Master,N,Y,4,N,N,A,0,N,N,N,0,0
2015,lg3028,1,P3,9,8,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1965,N,T1,N,N,N,3,Doctor,N,N,23,N,N,A,1,N,N,N,0,0
2015,lg3030,1,P2,3,7,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T3,N,Y,N,2,Master,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg3032,1,P2,2,7,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,T3,N,N,N,4,Master,N,Y,3,Y,Y,A,0,N,N,N,2,0
2015,lg3034,1,P2,2,6,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,T1,N,N,N,3,Master,N,N,5,Y,N,A,0,N,N,N,0,0
2015,lg3035,1,P2,2,6,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,T4,N,N,N,3,Master,N,Y,9,N,N,A,0,N,N,N,1,0
